account length,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,customer service calls,churn_True,international plan_yes,voice mail plan_yes
149,28,180,92,187,64,265,53,12,3,3,0,0,1
38,0,131,98,162,97,159,106,8,6,2,0,0,0
40,41,148,74,169,88,214,102,6,5,2,0,0,1
43,0,251,105,212,104,157,67,9,4,0,0,1,0
113,0,125,93,206,119,129,139,8,8,0,0,1,0
126,0,211,70,216,80,153,60,7,1,1,0,0,0
150,0,178,101,169,110,148,100,13,3,4,1,0,0
138,0,241,93,170,83,295,104,11,7,3,0,0,0
162,46,224,97,188,84,254,61,12,2,0,0,0,1
147,0,248,83,148,85,172,109,8,4,3,0,0,0
90,0,203,146,226,117,152,105,7,4,1,0,0,0
85,0,235,109,157,94,188,99,12,3,0,0,0,0
50,0,157,90,223,72,181,111,6,2,1,0,0,0
82,0,300,109,181,100,270,73,11,4,0,1,0,0
144,0,61,117,77,85,173,99,8,7,4,1,0,0
46,0,214,72,164,104,177,113,8,3,2,0,0,0
70,0,170,98,155,102,228,76,15,2,1,0,0,0
144,0,201,99,303,74,224,119,13,2,1,0,0,0
116,0,215,104,204,79,278,109,12,5,3,0,1,0
55,25,165,123,136,95,175,90,11,2,3,0,0,1
70,24,249,101,259,98,222,68,9,4,1,0,0,1
106,0,210,96,249,85,191,88,12,1,2,1,0,0
128,29,179,104,225,86,323,78,8,7,0,0,0,1
94,0,157,105,155,101,189,84,8,5,4,1,0,0
111,0,214,118,208,76,182,98,12,2,1,0,0,0
74,35,154,104,123,84,202,57,10,9,2,0,0,1
128,0,237,125,247,93,208,68,13,4,1,1,0,0
82,0,143,61,194,105,109,94,11,2,1,0,0,0
155,0,203,100,190,104,196,119,8,4,0,1,0,0
80,0,124,100,173,107,253,62,7,9,1,0,0,0
78,0,252,93,178,112,263,105,9,7,3,0,0,0
90,0,179,71,190,81,127,91,10,7,3,0,0,0
104,0,278,106,81,113,163,137,9,5,1,0,0,0
73,0,160,110,213,72,174,72,13,4,0,0,0,0
99,0,198,87,207,76,190,113,8,3,4,0,0,0
120,0,212,131,209,104,167,96,5,5,1,1,0,0
77,0,251,72,205,126,275,109,9,7,2,1,0,0
98,21,161,114,252,83,160,92,4,8,4,0,0,1
108,0,178,137,189,76,129,102,14,5,0,0,0,0
135,0,151,82,119,105,180,100,10,6,0,0,0,0
95,0,135,99,183,106,245,102,12,9,1,0,0,0
122,0,170,94,173,109,248,75,11,2,1,0,0,0
95,0,238,65,187,98,190,115,11,4,4,0,0,0
36,29,281,102,202,76,187,113,9,6,2,0,0,1
93,21,117,131,164,115,217,86,9,3,1,0,0,1
141,32,148,91,131,97,219,142,10,1,1,0,0,1
157,0,229,90,147,121,241,108,9,7,3,0,0,0
120,0,165,100,317,83,119,86,8,8,1,0,0,0
103,0,185,117,223,94,222,91,12,2,2,0,0,0
98,0,161,117,190,113,227,113,12,4,4,0,0,0
125,0,126,108,206,90,247,114,13,7,1,0,0,0
63,0,58,125,169,59,211,88,9,3,1,0,0,0
64,0,162,83,152,109,57,122,14,3,1,0,0,0
74,0,282,114,219,48,170,115,9,4,1,1,0,0
112,36,113,117,157,82,177,118,10,3,2,0,0,1
97,0,239,125,214,111,143,81,8,5,2,0,0,0
46,0,210,92,227,77,200,116,13,7,1,0,0,0
41,22,213,102,141,86,142,123,7,3,0,0,0,1
121,0,190,103,183,117,220,103,9,4,3,0,0,0
193,0,170,124,132,95,112,89,11,3,1,0,0,0
130,0,154,119,110,98,227,117,9,5,2,0,0,0
85,0,201,52,229,104,252,106,12,3,1,0,0,0
162,0,70,108,157,87,154,82,9,3,4,1,0,0
61,27,187,124,146,103,225,129,6,6,4,1,0,1
92,0,91,90,193,123,175,86,9,4,2,0,0,0
131,36,214,115,161,117,264,102,9,4,3,0,0,1
90,0,145,92,217,114,146,123,10,2,3,0,0,0
75,0,166,125,158,86,256,80,6,5,1,0,0,0
78,0,231,115,230,140,261,120,9,3,1,0,0,0
82,0,200,96,201,102,206,60,7,1,4,0,0,0
163,0,197,109,202,128,206,80,9,10,1,0,0,0
91,0,129,112,173,83,247,130,11,3,3,0,1,0
75,21,175,97,217,106,237,134,5,4,5,0,0,1
91,0,203,106,210,113,195,129,12,3,3,0,0,0
127,36,183,117,126,76,263,71,11,8,1,0,0,1
113,23,205,101,152,60,158,59,10,5,2,0,0,1
110,0,148,115,276,84,193,112,12,3,1,0,0,0
120,39,200,68,220,97,253,116,10,4,0,0,0,1
157,28,192,107,195,74,109,139,6,5,3,0,0,1
103,0,246,47,195,84,200,96,11,4,1,0,0,0
117,0,167,86,177,87,249,132,14,7,2,1,1,0
140,0,231,101,160,94,110,98,14,6,3,0,0,0
127,0,146,91,203,78,203,110,13,3,1,0,0,0
83,0,271,87,216,126,121,105,11,4,1,0,1,0
121,0,181,121,218,98,161,103,8,5,1,0,0,0
145,43,257,97,162,95,286,86,11,4,2,0,0,1
113,0,193,99,221,125,172,67,10,6,1,0,0,0
117,0,102,119,206,91,299,105,10,7,1,0,0,0
65,0,187,116,157,117,227,86,7,6,1,0,0,0
56,0,226,112,248,118,140,142,6,11,1,0,0,0
96,0,260,115,146,46,269,87,11,4,5,0,0,0
151,0,178,116,292,138,265,101,9,4,0,0,0,0
83,0,337,120,227,116,153,114,15,7,0,1,0,0
139,23,157,129,247,96,259,112,13,2,0,0,0,1
6,0,183,117,256,72,178,79,10,2,1,0,0,0
115,24,142,124,183,129,164,114,9,4,1,0,0,1
87,0,136,97,172,108,137,101,7,5,0,0,0,0
141,0,217,110,241,111,253,103,12,6,0,0,0,0
141,36,187,99,241,116,229,105,10,5,3,0,0,1
62,0,98,103,135,122,236,82,12,1,1,0,0,0
146,0,206,151,148,89,167,91,6,3,1,0,0,0
92,33,243,92,213,92,228,104,12,2,2,0,0,1
185,31,189,126,163,133,264,126,7,3,1,0,0,1
148,0,202,102,243,128,261,90,10,3,1,0,0,0
94,38,170,124,193,116,105,73,12,4,1,0,0,1
32,0,230,87,187,90,154,53,6,2,0,0,0,0
68,0,237,105,223,105,97,79,13,2,1,0,0,0
64,27,182,91,169,98,164,86,10,5,2,0,0,1
25,0,119,87,211,101,268,86,10,4,3,0,0,0
65,0,116,87,178,93,182,150,14,2,1,0,0,0
179,0,219,92,149,125,244,104,6,5,0,0,0,0
94,0,252,104,169,125,170,106,11,7,2,0,0,0
62,0,147,91,190,107,195,115,12,3,0,0,0,0
127,0,202,103,229,86,195,113,11,3,2,0,0,0
116,0,173,93,194,76,208,112,16,10,3,0,0,0
94,23,197,125,214,136,282,103,9,5,4,0,1,1
126,0,58,94,138,118,136,91,11,1,5,1,0,0
19,0,186,98,254,57,214,127,14,7,2,0,0,0
170,0,259,68,245,122,134,121,8,3,3,0,1,0
106,0,158,74,64,139,198,103,10,4,1,0,0,0
93,0,271,71,229,108,77,121,10,3,2,0,0,0
164,0,160,111,163,126,187,112,9,3,1,0,0,0
51,0,232,109,187,95,231,107,9,3,1,0,0,0
107,0,133,85,180,94,112,115,8,4,0,0,0,0
130,0,176,109,90,104,238,69,9,2,1,0,0,0
80,0,209,74,195,77,208,119,8,4,2,0,0,0
94,0,137,118,203,88,150,131,13,2,0,0,0,0
118,23,289,52,166,111,119,88,9,4,1,0,0,1
117,23,198,86,177,86,180,92,6,6,1,0,0,1
78,0,149,119,182,115,261,126,9,8,0,0,0,0
208,0,326,67,176,113,181,102,10,6,2,1,0,0
131,26,292,101,199,97,255,127,13,7,4,1,1,1
63,0,83,64,177,106,245,89,13,3,0,0,0,0
53,24,145,146,220,136,249,96,13,5,3,0,0,1
62,0,182,101,328,93,245,131,11,1,2,0,0,0
97,0,218,86,184,94,240,110,6,8,3,0,0,0
105,0,140,109,178,51,217,83,6,3,2,0,0,0
157,0,152,105,257,80,198,93,9,4,1,0,0,0
66,36,106,76,209,77,190,117,12,2,1,0,0,1
122,0,243,98,83,72,179,84,13,8,2,0,0,0
38,0,194,94,186,95,223,90,10,5,3,0,0,0
106,0,213,95,151,70,260,124,12,5,3,0,0,0
99,0,217,112,246,89,226,89,15,7,3,0,0,0
99,0,241,72,155,98,188,109,11,10,1,0,0,0
144,0,203,100,247,103,194,94,11,11,0,0,1,0
82,24,155,131,244,106,122,68,10,3,1,0,0,1
86,31,167,139,113,118,246,121,12,6,1,0,0,1
70,0,226,98,228,115,73,93,17,4,2,1,1,0
93,0,179,93,178,98,225,131,11,6,3,0,0,0
93,0,151,89,186,76,172,120,10,3,0,0,0,0
120,0,180,80,224,82,265,91,4,7,3,0,0,0
136,0,250,121,267,118,151,114,13,2,1,1,0,0
81,0,183,116,152,98,212,99,12,6,3,0,0,0
127,22,166,114,174,103,244,68,10,6,1,0,0,1
65,0,136,112,272,96,220,104,4,2,1,0,0,0
35,0,149,113,242,122,174,104,8,6,2,0,0,0
88,0,65,97,168,76,236,113,13,1,2,0,0,0
65,0,213,111,234,94,250,123,2,4,1,0,0,0
123,0,206,85,244,78,221,136,7,2,3,0,0,0
126,27,186,78,189,83,76,139,9,3,2,0,0,1
104,23,280,136,220,92,136,102,13,3,4,0,0,1
45,22,196,84,313,92,163,108,11,3,0,0,0,1
93,0,312,109,129,100,217,74,10,2,0,1,1,0
63,36,199,110,291,111,197,92,11,6,1,0,1,1
100,0,203,96,217,126,180,122,13,2,3,0,0,0
53,0,168,97,220,87,154,113,10,2,0,0,0,0
92,0,173,140,240,105,233,117,9,5,1,0,1,0
139,0,134,106,211,98,193,125,10,2,5,1,0,0
110,40,202,103,118,128,234,98,9,9,2,0,0,1
110,0,74,117,200,98,192,101,9,7,3,0,0,0
215,0,83,148,120,91,226,110,10,9,0,0,0,0
73,0,192,86,168,116,139,87,9,6,1,0,0,0
138,0,220,89,88,125,195,79,12,5,0,0,0,0
137,0,135,95,134,102,223,81,12,2,2,1,1,0
36,0,253,77,182,151,275,103,8,2,1,0,0,0
85,0,225,81,176,63,194,110,7,2,3,0,0,0
22,0,110,107,166,93,202,96,9,5,0,0,0,0
107,37,60,102,102,80,261,106,11,3,0,0,0,1
51,0,214,94,149,58,283,66,10,5,0,0,0,0
94,0,181,85,202,98,245,97,9,2,4,0,0,0
119,23,154,114,278,137,228,112,11,4,2,0,0,1
33,29,157,99,117,80,279,79,13,11,4,1,0,1
106,0,207,91,172,109,191,143,14,7,4,0,0,0
82,0,207,90,232,83,172,108,9,8,3,0,0,0
86,41,119,101,230,134,236,58,9,3,0,0,0,1
97,0,143,117,273,82,178,81,10,3,0,0,1,0
106,32,165,126,216,93,173,86,14,8,4,0,0,1
108,0,138,122,172,117,231,92,9,3,1,0,0,0
114,0,84,118,249,86,193,95,14,8,1,0,0,0
92,0,62,111,180,126,221,80,10,2,1,1,1,0
59,0,155,79,235,123,169,80,8,4,1,0,0,0
24,25,164,110,209,105,231,55,6,9,1,0,0,1
151,0,134,88,143,112,223,61,15,1,1,0,0,0
117,0,143,103,211,108,185,96,11,3,1,0,0,0
78,0,168,110,221,73,241,136,12,1,1,0,0,0
155,0,262,55,194,113,146,85,8,6,2,0,0,0
114,30,206,79,260,91,291,83,11,6,1,0,0,1
114,28,225,94,193,117,232,100,8,9,4,0,0,1
119,0,138,89,170,78,263,98,13,6,3,0,0,0
64,48,94,104,136,101,147,89,4,4,0,0,0,1
118,0,160,123,175,96,184,99,9,3,2,0,1,0
101,0,206,105,224,117,249,100,14,3,0,0,0,0
117,0,134,121,180,83,200,104,7,3,1,0,0,0
139,0,192,104,234,96,203,101,13,3,3,0,0,0
92,28,151,90,194,79,239,114,10,3,1,0,0,1
83,0,221,103,231,103,122,100,9,5,3,0,0,0
148,0,218,88,208,85,203,99,11,4,0,0,1,0
144,48,189,96,123,67,214,106,6,2,2,1,0,1
131,25,192,85,225,105,254,59,10,6,2,0,0,1
146,0,204,135,219,90,222,114,10,6,3,0,1,0
143,0,172,97,174,108,188,119,13,4,2,0,0,0
81,0,198,93,210,108,193,71,10,6,2,0,0,0
48,37,211,115,159,84,144,80,12,1,1,0,0,1
86,28,221,74,288,100,240,105,9,2,1,0,0,1
71,0,197,108,181,109,281,56,6,5,3,0,0,0
145,24,147,90,175,108,252,102,15,3,2,0,0,1
137,0,206,122,128,102,194,84,8,5,2,0,0,0
137,0,205,88,209,86,289,84,14,4,2,0,0,0
167,0,207,88,132,63,255,98,14,5,0,0,0,0
89,0,303,95,260,114,312,89,5,3,1,1,0,0
199,34,230,121,219,99,299,94,8,2,0,0,0,1
132,0,99,110,129,80,125,124,9,3,0,0,0,0
94,0,177,112,194,112,146,108,5,4,1,0,0,0
96,37,172,93,120,116,216,86,10,5,5,1,0,1
96,18,172,86,133,113,259,70,9,3,1,0,0,1
166,0,204,115,179,152,216,109,9,5,1,0,0,0
74,0,85,83,247,67,142,85,10,5,2,0,0,0
36,0,157,117,184,58,240,99,11,1,0,0,0,0
113,0,215,129,218,117,207,91,6,9,4,0,0,0
94,0,181,98,199,88,287,114,6,5,1,0,0,0
67,0,171,80,110,81,195,111,11,4,2,0,0,0
121,0,170,108,350,68,297,87,11,3,0,1,0,0
158,0,158,106,292,114,241,89,9,4,1,0,0,0
136,0,92,117,253,77,214,90,10,10,1,0,0,0
196,0,234,109,249,114,173,70,9,5,2,0,0,0
113,0,272,111,268,118,213,105,8,10,1,1,0,0
122,0,296,99,214,89,133,107,11,3,4,1,0,0
112,0,194,101,190,82,183,107,11,2,0,0,0,0
209,0,227,128,258,92,183,74,8,4,3,0,0,0
62,0,248,109,220,118,265,78,13,2,1,1,0,0
110,38,236,102,195,112,183,82,9,6,1,0,0,1
16,0,205,69,169,93,220,64,10,3,0,0,0,0
73,0,94,136,280,122,205,77,9,4,0,0,0,0
39,0,60,158,306,120,123,46,12,3,1,0,0,0
103,28,121,105,270,100,160,76,7,4,2,0,0,1
119,29,117,66,256,114,147,76,7,3,3,0,0,1
173,21,232,96,211,118,273,102,5,5,3,0,0,1
128,32,223,81,188,74,154,101,9,2,2,1,1,1
86,0,176,79,259,97,287,78,6,3,0,0,0,0
114,32,125,79,177,105,232,89,12,3,1,0,0,1
104,0,138,107,256,113,234,74,10,3,0,0,0,0
148,0,86,134,246,92,251,91,11,4,1,0,0,0
129,0,207,91,154,121,245,112,13,5,3,0,0,0
100,30,58,104,219,107,152,118,7,3,0,0,0,1
121,35,68,95,209,69,197,42,11,4,1,0,0,1
143,33,239,109,235,112,156,95,9,4,1,0,0,1
76,0,198,130,217,86,188,96,12,3,0,0,0,0
116,0,192,98,312,135,130,94,7,2,3,0,0,0
54,0,272,83,248,74,197,111,9,2,1,1,0,0
108,0,169,99,264,87,206,78,9,4,0,0,0,0
66,0,201,95,152,66,233,101,7,4,1,0,0,0
151,17,214,97,138,90,169,44,8,4,1,0,0,1
99,0,169,70,271,77,170,104,10,2,0,0,0,0
55,0,194,121,176,110,302,136,7,7,2,0,0,0
77,0,233,104,266,94,212,104,7,3,2,0,0,0
78,0,225,67,199,127,175,102,14,2,0,0,0,0
89,0,213,63,176,71,262,126,9,1,1,1,0,0
101,0,183,115,255,101,275,145,10,11,1,0,0,0
44,34,221,105,161,85,227,62,14,7,0,0,0,1
64,37,154,92,83,103,165,99,13,3,1,0,0,1
141,0,260,131,179,120,135,119,7,8,3,0,0,0
81,33,161,117,123,90,261,101,12,5,1,0,0,1
162,0,220,117,155,121,186,89,10,11,1,0,0,0
83,41,155,122,162,107,127,105,13,5,3,0,0,1
100,0,107,63,105,67,243,74,12,3,4,1,0,0
59,0,182,104,204,95,229,100,11,8,4,0,0,0
179,38,220,78,234,71,237,85,10,4,4,0,1,1
79,0,152,112,177,132,96,87,5,3,1,0,0,0
117,0,181,95,205,88,204,82,14,9,2,0,0,0
64,0,236,77,218,85,194,97,13,2,2,1,1,0
31,0,166,105,79,93,213,98,12,2,1,0,0,0
124,0,244,89,188,80,206,114,11,4,1,0,1,0
122,23,134,85,227,132,122,96,8,2,2,0,0,1
37,39,149,122,211,75,114,90,9,4,1,0,1,1
90,29,150,109,264,103,178,97,5,4,1,0,0,1
159,0,257,53,312,127,183,82,8,6,1,1,1,0
148,0,124,83,179,81,253,99,11,6,0,0,0,0
39,36,141,121,232,113,222,131,12,5,1,0,0,1
77,0,230,87,103,138,309,136,11,3,2,0,0,0
194,0,162,88,213,118,192,81,10,2,0,0,0,0
112,0,193,96,264,123,128,115,9,3,4,0,0,0
45,0,78,127,253,108,255,100,18,3,1,0,0,0
132,0,83,110,232,137,146,114,7,5,1,0,0,0
128,0,195,99,267,120,164,76,16,2,0,0,0,0
135,0,201,81,225,114,204,82,10,6,1,0,0,0
56,0,197,110,222,102,225,91,10,6,2,0,0,0
151,0,218,57,114,88,269,95,12,1,0,1,1,0
32,0,164,98,229,96,167,108,14,2,2,0,0,0
90,0,179,77,210,99,276,58,9,6,2,0,0,0
87,21,214,113,180,114,134,82,10,5,0,0,0,1
138,0,170,87,118,116,187,111,11,7,2,0,0,0
95,0,165,84,286,112,198,89,11,2,1,1,1,0
127,0,221,100,160,113,233,96,6,4,2,0,0,0
137,0,242,118,191,93,218,50,14,2,3,0,0,0
97,0,151,107,155,96,240,112,14,4,1,0,0,0
149,0,176,87,145,81,249,92,5,4,0,0,1,0
117,22,196,82,322,82,225,120,3,5,1,0,1,1
84,0,159,125,247,90,187,82,7,4,2,0,0,0
137,0,230,113,220,79,204,111,10,7,4,0,0,0
99,0,146,64,274,99,321,98,8,1,3,0,0,0
54,0,210,102,204,83,127,53,8,5,1,0,0,0
85,0,102,95,270,139,148,105,10,3,1,0,0,0
150,0,126,99,238,73,285,100,10,6,3,0,0,0
43,0,168,125,243,89,214,102,11,2,1,0,0,0
35,0,105,129,258,129,213,77,8,3,0,0,0,0
98,0,206,92,176,152,232,115,12,5,5,0,0,0
112,0,217,76,205,100,185,91,9,3,2,0,0,0
16,0,229,78,205,108,166,91,10,2,0,1,0,0
98,22,278,89,93,143,107,42,9,5,0,0,0,1
84,0,138,102,199,93,204,137,7,4,0,0,0,0
94,0,234,103,279,109,234,121,2,2,1,1,0,0
84,0,181,129,130,112,186,118,8,4,1,0,0,0
66,0,167,91,230,68,191,118,10,5,1,1,0,0
98,31,121,105,218,98,226,110,12,1,1,0,0,1
74,0,221,124,110,94,240,112,10,3,0,0,0,0
96,26,145,108,192,89,165,96,9,2,1,0,0,1
119,0,222,122,163,107,160,112,11,6,1,0,0,0
73,0,183,80,242,115,201,100,7,3,4,0,0,0
92,0,264,91,160,115,198,73,9,5,0,0,1,0
21,0,146,78,109,79,247,108,6,7,0,0,0,0
122,0,157,134,184,122,197,59,8,5,4,1,0,0
133,0,127,108,251,81,135,88,10,3,1,0,1,0
145,0,187,110,197,117,167,108,4,4,2,0,0,0
25,0,178,90,141,72,203,99,8,5,2,0,0,0
64,0,97,80,186,90,189,92,10,6,2,0,0,0
85,0,259,85,242,117,168,72,5,1,0,0,0,0
126,0,256,112,199,90,188,122,7,5,3,0,0,0
76,0,169,77,124,87,219,92,10,3,0,0,0,0
113,0,239,47,282,110,238,88,8,3,2,1,0,0
117,0,239,84,174,106,209,93,9,2,0,0,0,0
128,34,142,73,194,79,239,81,16,6,1,0,0,1
115,0,184,98,327,73,212,106,7,6,2,0,0,0
141,28,206,126,264,126,171,124,9,11,2,0,0,1
51,0,259,114,176,94,77,112,15,1,1,0,0,0
100,0,203,122,283,76,197,83,12,3,0,0,0,0
96,45,248,124,140,77,263,102,10,2,3,0,0,1
112,16,221,110,130,123,200,108,11,3,1,0,0,1
129,0,192,131,185,101,205,130,10,4,1,0,1,0
163,0,122,129,113,108,180,97,12,7,1,0,0,0
67,40,104,65,216,93,217,128,9,9,1,0,0,1
140,0,173,91,196,106,209,128,11,5,3,0,0,0
49,0,119,69,273,92,214,153,12,7,2,0,0,0
46,0,250,100,260,90,195,104,13,2,2,1,0,0
148,0,178,98,282,110,181,98,11,4,1,0,0,0
112,0,243,77,182,97,259,94,12,2,1,0,0,0
78,0,155,106,175,101,155,125,11,5,2,0,0,0
61,31,288,101,203,102,203,49,8,3,0,0,0,1
58,29,240,80,118,91,164,108,11,3,1,0,0,1
155,0,190,123,301,96,214,134,8,3,1,0,0,0
100,0,278,76,176,74,219,126,8,4,0,1,0,0
113,0,155,93,330,106,189,123,13,3,1,0,0,0
81,0,153,99,197,102,198,86,6,2,2,0,0,0
135,27,273,141,154,99,245,112,12,6,1,0,0,1
99,0,155,93,265,95,145,67,12,4,0,0,0,0
59,29,133,114,221,82,131,103,6,3,1,0,0,1
135,0,246,129,187,121,154,109,12,5,1,0,0,0
85,0,165,107,196,126,349,110,9,7,2,0,1,0
70,0,59,103,257,106,208,86,11,6,0,0,0,0
88,0,138,116,236,138,179,110,9,4,3,0,0,0
55,0,286,100,134,121,192,122,6,5,2,0,0,0
75,0,117,114,201,61,107,82,12,3,1,0,0,0
79,21,264,79,202,118,173,92,6,3,4,0,0,1
85,0,127,107,271,124,202,76,12,5,0,0,0,0
86,23,225,107,246,105,245,81,9,2,0,0,0,1
91,0,149,115,245,105,260,94,8,3,0,0,0,0
149,20,198,77,274,88,190,76,14,9,1,0,0,1
97,0,256,125,273,100,222,101,11,1,1,1,0,0
88,0,264,124,245,112,160,115,14,2,1,1,0,0
60,0,98,88,180,69,223,69,9,2,2,0,0,0
54,0,159,99,264,64,115,70,9,7,2,0,0,0
11,28,190,86,220,122,180,80,6,3,3,0,0,1
109,0,184,120,120,119,153,86,11,3,0,0,0,0
90,0,261,128,220,104,136,91,9,5,1,0,0,0
115,0,147,109,228,117,299,90,9,9,3,0,0,0
144,18,106,109,108,113,208,111,10,5,1,0,0,1
91,0,133,75,195,87,280,89,5,2,0,0,0,0
105,23,193,85,220,90,272,111,8,5,0,0,0,1
71,0,178,113,167,94,182,111,13,3,3,1,1,0
132,36,226,103,181,125,258,102,10,5,3,1,0,1
112,0,170,103,200,71,258,100,11,4,1,0,0,0
41,34,194,63,254,110,160,115,17,9,2,0,0,1
44,0,240,146,164,83,240,106,10,2,1,0,0,0
78,0,75,116,248,87,176,83,9,6,3,0,0,0
149,0,69,117,136,100,181,53,6,3,1,0,0,0
72,33,96,59,315,98,163,117,6,4,4,1,0,1
74,0,148,111,146,42,289,83,9,6,3,0,0,0
50,0,258,106,161,106,225,110,11,5,1,0,0,0
141,23,149,112,162,118,220,115,7,2,3,0,0,1
140,0,149,134,164,98,294,124,8,2,1,0,0,0
99,0,190,102,158,107,271,92,11,4,2,0,0,0
166,0,181,108,253,54,112,94,11,6,1,0,0,0
124,0,151,123,187,104,255,93,5,3,1,0,0,0
74,0,155,116,173,63,257,97,8,4,0,0,0,0
85,0,222,132,231,101,223,75,11,2,3,0,0,0
36,16,149,111,131,113,132,87,6,2,0,0,0,1
102,0,233,103,221,131,146,106,12,3,0,0,1,0
76,0,204,100,292,139,244,105,10,2,0,0,0,0
130,0,150,119,230,99,186,76,12,4,1,0,0,0
78,0,208,119,252,132,280,120,12,7,0,0,0,0
55,0,191,91,256,110,203,101,14,6,1,1,1,0
92,0,130,113,260,122,244,98,9,2,2,1,1,0
18,0,273,93,114,116,250,120,8,4,1,0,0,0
161,0,156,114,180,63,179,115,11,9,2,0,1,0
93,36,178,134,178,102,126,82,8,4,2,0,0,1
144,0,177,93,287,75,180,118,11,3,2,0,0,0
75,0,211,61,105,119,175,63,9,4,4,1,1,0
95,0,175,91,244,109,75,95,7,2,1,0,0,0
126,23,114,102,190,103,240,111,12,7,3,0,0,1
124,28,251,104,225,89,251,121,7,5,1,0,0,1
93,0,216,61,207,120,221,110,17,5,1,1,1,0
109,26,217,138,145,111,280,76,9,3,0,0,1,1
41,0,159,66,125,75,261,76,11,5,1,0,0,0
136,31,143,88,236,65,227,120,11,5,2,0,0,1
92,0,154,122,329,88,288,117,5,2,3,1,0,0
143,24,186,69,222,116,234,138,11,5,1,0,0,1
118,26,170,114,199,125,169,98,9,5,5,1,0,1
193,17,124,102,202,81,205,129,12,3,1,0,0,1
73,0,198,94,279,101,146,87,14,8,3,0,0,0
62,0,172,101,204,97,240,90,9,8,2,0,0,0
30,30,217,74,213,86,227,104,6,3,0,0,0,1
148,14,93,137,193,72,144,84,17,5,1,0,0,1
96,0,98,100,307,88,182,120,7,1,2,0,0,0
52,0,214,68,158,138,123,114,9,4,2,0,0,0
87,0,168,92,224,100,169,99,12,3,1,0,0,0
